Type,Class,Sets,Piece,Armor,Toughness,Initiative,Wounds,Weapon Skill,Strength,Intelligence,Willpower,Ballistic skill,Spiritual Resistance,Elemental Resistance,Corporeal Resistance,Item bonus 1,Item bonus 2,Item bonus 3,Level,Renown Rank,Talisman slot,Special slot,,Helm,Shoulders,Body,Gloves,Belt,Boots,Cloak,"Jewelry
(left)","Jewelry
(right)",Pocket,,Item bonus 1 check,Item bonus 2 check,Item bonus 3 check
Armor,AM,Conqueror,Helm,225,10,0,30,0,0,0,17,0,0,0,0,+2% Dodge,-,-,40,44,1,0,,Conqueror,,,,,,,,,,,Dodge,0,0
Armor,AM,Conqueror,Shoulders,225,16,0,12,0,0,0,29,0,0,0,0,+2% Reduced Armor Penetration,-,-,40,43,1,0,,,Conqueror,,,,,,,,,,Reduced Armor Penetration,0,0
Armor,AM,Dominator,Belt,0,0,12,6,0,0,18,0,0,83,77,83,+36 Magic Power,-,-,40,42,1,0,,,,,,Dominator,,,,,,,Magic Power,0,0
Armor,AM,Dominator,Body,255,19,0,13,0,0,33,0,0,0,0,0,+3 AP Per Second,-,-,40,45,1,0,,,,Dominator,,,,,,,,,AP Per Second,0,0
Armor,AM,Dominator,Boots,192,0,14,10,0,0,16,0,0,0,0,0,+2% Magic Critical Chance,-,-,40,40,1,0,,,,,,,Dominator,,,,,,Magic Critical Chance,0,0
Armor,AM,Dominator,Gloves,192,15,0,8,0,0,25,0,0,0,0,0,+2% Reduced Chance to be Disrupted,-,-,40,41,1,0,,,,,Dominator,,,,,,,,Reduced Chance to be Disrupted,0,0
Armor,AM,Dominator,Helm,225,0,17,30,0,0,10,0,0,0,0,0,+2% Reduced Chance to be Disrupted,-,-,40,44,1,0,,Dominator,,,,,,,,,,,Reduced Chance to be Disrupted,0,0
Armor,AM,Dominator,Shoulders,225,18,0,12,0,0,29,0,0,0,0,0,+2 Morale Per Second,-,-,40,43,1,0,,,Dominator,,,,,,,,,,Morale Per Second,0,0
Jewelry,AM,Genesis Curative,Aspect,0,0,24,0,0,0,0,0,0,64,64,64,+36 Healing power,-,-,36,0,0,0,,,,,,,,,,,,,Healing Power,0,0
Armor,AM,Genesis Curative,Cloak,0,0,0,0,0,0,0,28,0,53,53,53,+4 AP Per Second,-,-,36,0,0,0,,,,,,,,Genesis Curative,,,,,AP Per Second,0,0
Jewelry,AM,Genesis Curative,Fragment,0,0,0,0,0,0,0,24,0,57,57,57,+1% Dodge,+1% Disrupt,-,36,0,0,0,,,,,,,,,,,,,Dodge,Disrupt,0
Jewelry,AM,Genesis Curative,Remnant,0,0,0,24,0,0,0,24,0,64,64,64,-,-,-,36,0,0,0,,,,,,,,,,,,,0,0,0
Jewelry,AM,Genesis Curative,Shard,0,0,0,0,0,0,0,0,0,55,55,55,+2% Dodge,+2% Disrupt,-,36,0,0,0,,,,,,,,,,,,,Dodge,Disrupt,0
Jewelry,AM,Genesis Scholar,Aspect,0,0,24,0,0,0,0,0,0,64,64,64,+36 Magic Power,-,-,36,0,0,0,,,,,,,,,,,,,Magic Power,0,0
Armor,AM,Genesis Scholar,Cloak,0,0,0,0,0,0,28,0,0,53,53,53,+4 AP Per Second,-,-,36,0,0,0,,,,,,,,Genesis Scholar,,,,,AP Per Second,0,0
Jewelry,AM,Genesis Scholar,Fragment,0,0,0,0,0,0,24,0,0,57,57,57,+1% Dodge,+1% Disrupt,-,36,0,0,0,,,,,,,,,,,,,Dodge,Disrupt,0
Jewelry,AM,Genesis Scholar,Remnant,0,0,0,24,0,0,24,0,0,64,64,64,-,-,-,36,0,0,0,,,,,,,,,,,,,0,0,0
Jewelry,AM,Genesis Scholar,Shard,0,0,0,0,0,0,0,0,0,55,55,55,+2% Dodge,+2% Disrupt,-,36,0,0,0,,,,,,,,,,,,,Dodge,Disrupt,0
Jewelry,AM,Gunbad Amber,Exquisite,0,0,0,12,30,0,0,0,0,55,55,55,+2% Reduced Chance to be Parried,-,-,40,0,0,0,,,,,,,,,,,,,Reduced Chance to be Parried,0,0
Jewelry,AM,Gunbad Amber,Rough,0,0,12,0,28,0,0,0,0,52,52,52,+2% Parry,-,-,40,0,0,0,,,,,,,,,,,,,Parry,0,0
Jewelry,AM,Gunbad Diamond,Exquisite,0,0,12,30,0,0,0,0,0,55,55,55,+3% Reduction in being Critically Hit,-,-,40,0,0,0,,,,,,,,,,,,,Reduction in being Critically Hit,0,0
Jewelry,AM,Gunbad Diamond,Rough,0,12,0,28,0,0,0,0,0,52,52,52,+2% Block,-,-,40,0,0,0,,,,,,,,,,,,,Block,0,0
Jewelry,AM,Gunbad Emerald,Exquisite,0,0,12,0,0,0,0,30,0,55,55,55,+12 Healing Power,-,-,40,0,0,0,,,,,,,,,,,,,Healing Power,0,0
Jewelry,AM,Gunbad Emerald,Rough,0,0,0,0,0,0,12,28,0,52,52,52,+2% Dodge,-,-,40,0,0,0,,,,,,,,,,,,,Dodge,0,0
Jewelry,AM,Gunbad Jet,Exquisite,0,0,12,0,0,0,30,0,0,55,55,55,+2% Reduced Chance to be Disrupted,-,-,40,0,0,0,,,,,,,,,,,,,Reduced Chance to be Disrupted,0,0
Jewelry,AM,Gunbad Jet,Rough,0,0,0,12,0,0,28,0,0,52,52,52,+2% Disrupt,-,-,40,0,0,0,,,,,,,,,,,,,Disrupt,0,0
Jewelry,AM,Gunbad Ruby,Exquisite,0,0,12,0,0,30,0,0,0,55,55,55,+2% Reduced Chance to be Blocked,-,-,40,0,0,0,,,,,,,,,,,,,Reduced Chance to be Blocked,0,0
Jewelry,AM,Gunbad Ruby,Rough,0,0,0,12,0,28,0,0,0,52,52,52,+2% Parry,-,-,40,0,0,0,,,,,,,,,,,,,Parry,0,0
Armor,AM,Imperator,Helm,240,0,14,10,0,0,28,0,0,0,0,0,+12 Magic Power,+2% Reduced Chance to be Disrupted,-,40,0,1,0,,Imperator,,,,,,,,,,,Magic Power,Reduced Chance to be Disrupted,0
Armor,AM,Imperator,Shoulders,240,12,14,15,0,0,23,0,0,0,0,0,+2% Reduced Chance to be Disrupted,-,-,40,0,1,0,,,Imperator,,,,,,,,,,Reduced Chance to be Disrupted,0,0
Armor,AM,Invader,Belt,0,0,12,0,0,0,0,18,0,91,91,91,+2% Dodge,+2% Disrupt,-,40,60,0,0,,,,,,Invader,,,,,,,Dodge,Disrupt,0
Armor,AM,Invader,Body,292,16,16,21,0,0,0,26,0,0,0,0,+1 AP Per Second,-,-,40,63,1,0,,,,Invader,,,,,,,,,AP Per Second,0,0
Armor,AM,Invader,Boots,221,0,18,12,0,0,0,27,0,0,0,0,+2 Morale Per Second,-,-,40,61,1,0,,,,,,,Invader,,,,,,Morale Per Second,0,0
Armor,AM,Invader,Gloves,221,0,15,17,0,0,0,25,0,0,0,0,+15 Healing Power,-,-,40,61,1,0,,,,,Invader,,,,,,,,Healing Power,0,0
Armor,AM,Invader,Helm,257,15,18,0,0,0,0,27,0,0,0,0,+27 Healing Power,-,-,40,62,1,0,,Invader,,,,,,,,,,,Healing Power,0,0
Jewelry,AM,Invader,Inv Jewelry,0,0,0,12,0,0,0,27,0,79,78,78,+2 AP Per Second,+2% Reduced Armor Penetration,-,40,63,0,0,,,,,,,,,,,,,AP Per Second,Reduced Armor Penetration,0
Armor,AM,Invader,Shoulders,257,12,0,20,0,0,0,21,0,0,0,0,+2% Healing Critical Chance,-,-,40,62,1,0,,,Invader,,,,,,,,,,Healing Critical Chance,0,0
Armor,AM,Mercenary,Body,236,0,12,17,0,0,30,0,0,0,0,0,+3 AP Per Second,-,-,35,39,1,0,,,,Mercenary,,,,,,,,,AP Per Second,0,0
Armor,AM,Mercenary,Boots,183,13,0,10,0,0,21,0,0,0,0,0,+2% Dodge,-,-,35,35,1,0,,,,,,,Mercenary,,,,,,Dodge,0,0
Armor,AM,Mercenary,Gloves,183,0,14,9,0,0,23,11,0,0,0,0,-,-,-,35,36,1,0,,,,,Mercenary,,,,,,,,0,0,0
Armor,AM,Mercenary,Helm,212,15,0,13,0,0,25,0,0,0,0,0,+2% Disrupt,-,-,35,38,1,0,,Mercenary,,,,,,,,,,,Disrupt,0,0
Armor,AM,Mercenary,Shoulders,212,0,0,12,0,0,25,18,0,0,0,0,+1% Reduction in being Critically Hit,-,-,35,37,1,0,,,Mercenary,,,,,,,,,,Reduction in being Critically Hit,0,0
Armor,AM,Onslaught,Body,259,16,0,25,0,0,0,22,0,0,0,0,+72 Hit Points Every four Seconds,-,-,40,32,1,0,,,,Onslaught,,,,,,,,,Hit Points Every four Seconds,0,0
Armor,AM,Onslaught,Boots,203,14,18,18,0,0,0,0,0,0,0,0,+2% Dodge,-,-,40,32,1,0,,,,,,,Onslaught,,,,,,Dodge,0,0
Armor,AM,Onslaught,Gloves,203,12,12,16,0,0,0,24,0,0,0,0,-,-,-,40,32,1,0,,,,,Onslaught,,,,,,,,0,0,0
Armor,AM,Onslaught,Helm,231,18,0,27,0,0,0,16,0,0,0,0,+1% Reduction in being Critically Hit,-,-,40,32,1,0,,Onslaught,,,,,,,,,,,Reduction in being Critically Hit,0,0
Armor,AM,Onslaught,Shoulders,231,20,0,16,0,0,0,22,0,0,0,0,+2% Disrupt,-,-,40,32,1,0,,,Onslaught,,,,,,,,,,Disrupt,0,0
Armor,AM,Oppressor,Belt,0,12,0,19,0,0,21,0,0,87,86,86,+36 Magic Power,-,-,40,55,1,0,,,,,,Oppressor,,,,,,,Magic Power,0,0
Armor,AM,Oppressor,Body,274,0,0,19,0,0,28,0,0,0,0,0,+3 AP Per Second,+23 Magic Power,-,40,58,1,0,,,,Oppressor,,,,,,,,,AP Per Second,Magic Power,0
Armor,AM,Oppressor,Boots,209,0,10,18,0,0,15,0,0,0,0,0,+2% Magic Critical Chance,-,-,40,56,1,0,,,,,,,Oppressor,,,,,,Magic Critical Chance,0,0
Armor,AM,Oppressor,Gloves,209,8,0,11,0,0,26,0,0,0,0,0,+3% Reduced Chance to be Disrupted,-,-,40,56,1,0,,,,,Oppressor,,,,,,,,Reduced Chance to be Disrupted,0,0
Armor,AM,Oppressor,Helm,241,0,12,20,0,0,24,0,0,0,0,0,+3% Reduced Chance to be Disrupted,-,-,40,57,1,0,,Oppressor,,,,,,,,,,,Reduced Chance to be Disrupted,0,0
Armor,AM,Oppressor,Shoulders,241,10,0,20,0,0,34,0,0,0,0,0,+1% Magic Critical Chance,-,-,40,57,1,0,,,Oppressor,,,,,,,,,,Magic Critical Chance,0,0
Armor,AM,Rare Fortune,Body,240,0,16,17,0,0,0,24,0,0,0,0,+3 AP Per Second,-,-,39,0,1,0,,,,Rare Fortune,,,,,,,,,AP Per Second,0,0
Armor,AM,Rare Fortune,Boots,190,11,10,0,0,0,0,25,0,0,0,0,+2% Dodge,-,-,37,0,1,0,,,,,,,Rare Fortune,,,,,,Dodge,0,0
Armor,AM,Rare Fortune,Gloves,190,11,10,13,0,0,0,24,0,0,0,0,-,-,-,37,0,1,0,,,,,Rare Fortune,,,,,,,,0,0,0
Armor,AM,Rare Fortune,Helm,215,0,16,14,0,0,0,29,0,0,0,0,+12 Healing Power,-,-,38,0,1,0,,Rare Fortune,,,,,,,,,,,Healing Power,0,0
Armor,AM,Rare Fortune,Shoulders,215,0,17,16,0,0,0,24,0,0,0,0,+1% Healing Critical Chance,-,-,39,0,1,0,,,Rare Fortune,,,,,,,,,,Healing Critical Chance,0,0
Armor,AM,Redeye,Body,240,27,0,17,0,0,0,17,0,0,0,0,+3 AP Per Second,-,-,40,0,1,0,,,,Redeye,,,,,,,,,AP Per Second,0,0
Armor,AM,Redeye,Boots,190,17,0,16,0,0,0,15,0,0,0,0,+1% Reduction in being Critically Hit,-,-,40,0,1,0,,,,,,,Redeye,,,,,,Reduction in being Critically Hit,0,0
Armor,AM,Redeye,Cloak,0,21,0,21,0,0,0,17,0,91,76,73,-,-,-,40,0,0,0,,,,,,,,Redeye,,,,,0,0,0
Armor,AM,Redeye,Gloves,190,0,12,13,0,0,12,21,0,0,0,0,-,-,-,40,0,1,0,,,,,Redeye,,,,,,,,0,0,0
Armor,AM,Redeye,Helm,215,14,0,27,0,0,13,22,0,0,0,0,-,-,-,40,0,1,0,,Redeye,,,,,,,,,,,0,0,0
Armor,AM,Redeye,Shoulders,215,20,0,22,0,0,0,13,0,0,0,0,+2% Reduced Armor Penetration,-,-,40,0,1,0,,,Redeye,,,,,,,,,,Reduced Armor Penetration,0,0
Armor,AM,Sentinel,Belt,0,18,9,12,0,0,0,24,0,80,90,95,-,-,-,40,0,1,0,,,,,,Sentinel,,,,,,,0,0,0
Armor,AM,Sentinel,Body,259,19,0,17,0,0,0,35,0,0,0,0,+60 Hit Points Every four Seconds,-,-,40,0,1,0,,,,Sentinel,,,,,,,,,Hit Points Every four Seconds,0,0
Armor,AM,Sentinel,Boots,203,15,0,8,0,0,0,27,0,0,0,0,+2% Dodge,-,-,40,0,1,0,,,,,,,Sentinel,,,,,,Dodge,0,0
Armor,AM,Sentinel,Gloves,203,15,0,10,0,0,0,23,0,0,0,0,+21 Healing Power,-,-,40,0,1,0,,,,,Sentinel,,,,,,,,Healing Power,0,0
Armor,AM,Sentinel,Helm,231,10,0,14,0,0,0,27,0,0,0,0,+2% Healing Critical Chance,-,-,40,0,1,0,,Sentinel,,,,,,,,,,,Healing Critical Chance,0,0
Jewelry,AM,Sentinel,Sent Jewelry,0,0,0,17,0,0,27,0,0,70,70,71,+3 AP Per Second,-,-,40,0,1,1,,,,,,,,,,,,,AP Per Second,0,0
Armor,AM,Sentinel,Shoulders,231,17,0,12,0,0,0,30,0,0,0,0,+2% Reduction in being Critically Hit,-,-,40,0,1,0,,,Sentinel,,,,,,,,,,Reduction in being Critically Hit,0,0
Armor,AM,Sov Main,Body,334,20,20,25,0,0,0,30,0,0,0,0,+2 AP Per Second,-,-,40,78,1,0,,,,Sov Main,,,,,,,,,AP Per Second,0,0
Armor,AM,Sov Main,Belt,0,0,20,14,0,0,0,20,0,101,101,102,+2% Disrupt,-,-,40,75,0,0,,,,,,Sov Main,,,,,,,Disrupt,0,0
Armor,AM,Sov Main,Shoulders,296,20,0,22,0,0,0,29,0,0,0,0,+2% Healing Critical Chance,-,-,40,77,1,0,,,Sov Main,,,,,,,,,,Healing Critical Chance,0,0
Armor,AM,Sov Main,Boots,247,0,21,17,0,0,0,30,0,0,0,0,+2 Morale Per Second,-,-,40,76,1,0,,,,,,,Sov Main,,,,,,Morale Per Second,0,0
Armor,AM,Sov Main,Gloves,247,0,20,19,0,0,0,28,0,0,0,0,+17 Healing Power,-,-,40,76,1,0,,,,,Sov Main,,,,,,,,Healing Power,0,0
Armor,AM,Sov Main,Cloak,0,0,18,22,0,0,0,18,0,102,101,101,+2% Healing Critical Chance,-,-,40,75,1,0,,,,,,,,Sov Main,,,,,Healing Critical Chance,0,0
Jewelry,AM,Sov Main,Jewelry,0,0,0,18,0,0,0,29,0,87,87,86,+2% Reduced Armor Penetration,+2 AP Per Second,-,40,78,0,0,,,,,,,,,,,,,Reduced Armor Penetration,AP Per Second,0
Armor,AM,Sov Main,Helm,296,20,20,0,0,0,0,31,0,0,0,0,+30 Healing Power,-,-,40,77,1,0,,Sov Main,,,,,,,,,,,Healing Power,0,0
Armor,AM,Sov Off,Belt,0,0,14,20,0,0,20,0,0,101,101,102,+2% Disrupt,-,-,40,75,0,0,,,,,,Sov Off,,,,,,,Disrupt,0,0
Armor,AM,Sov Off,Shoulders,296,0,21,20,0,0,30,0,0,0,0,0,+2% Magic Critical Chance,-,-,40,77,1,0,,,Sov Off,,,,,,,,,,Magic Critical Chance,0,0
Armor,AM,Sov Off,Body,334,27,0,27,0,0,31,0,0,0,0,0,+4 AP Per Second,-,-,40,78,1,0,,,,Sov Off,,,,,,,,,AP Per Second,0,0
Armor,AM,Sov Off,Boots,247,0,17,18,0,0,23,0,0,0,0,0,+2% Magic Critical Chance,-,-,40,76,1,0,,,,,,,Sov Off,,,,,,Magic Critical Chance,0,0
Armor,AM,Sov Off,Gloves,247,0,19,20,0,0,26,0,0,0,0,0,+20 Magic Power,-,-,40,76,1,0,,,,,Sov Off,,,,,,,,Magic Power,0,0
Armor,AM,Sov Off,Cloak,0,0,19,18,0,0,21,0,0,102,101,101,+2% Magic Critical Chance,-,-,40,75,1,0,,,,,,,,Sov Off,,,,,Magic Critical Chance,0,0
Jewelry,AM,Sov Off,Jewelry,0,0,0,22,0,0,27,0,0,87,87,86,+4 AP Per Second,-,-,40,78,0,0,,,,,,,,,,,,,AP Per Second,0,0
Armor,AM,Sov Off,Helm,296,0,24,26,0,0,25,0,0,0,0,0,+25 Magic Power,-,-,40,77,1,0,,Sov Off,,,,,,,,,,,Magic Power,0,0
Jewelry,AM,The Winds,Band,0,4,12,0,0,0,0,0,0,178,104,89,-,-,-,35,0,0,0,,,,,,,,,,,,,0,0,0
Jewelry,AM,The Winds,Chain,0,4,0,0,12,0,0,0,0,104,89,178,-,-,-,35,0,0,0,,,,,,,,,,,,,0,0,0
Jewelry,AM,The Winds,Seal,0,4,12,0,0,0,0,0,0,89,178,104,-,-,-,35,0,0,0,,,,,,,,,,,,,0,0,0
Armor,AM,Triumphant,Belt,0,0,12,25,0,0,0,22,0,94,94,94,+2% Reduction in being Critically Hit,-,-,40,65,0,,,,,,,Triumphant,,,,,,,Reduction in being Critically Hit,0,0
Armor,AM,Triumphant,Body,308,0,19,21,0,0,0,35,0,0,0,0,+4 AP Per Second,-,-,40,68,1,,,,,Triumphant,,,,,,,,,AP Per Second,0,0
Armor,AM,Triumphant,Boots,235,0,17,14,0,0,0,20,0,0,0,0,+2% Healing Critical Chance,-,-,40,66,1,,,,,,,,Triumphant,,,,,,Healing Critical Chance,0,0
Armor,AM,Triumphant,Cloak,0,11,0,25,0,0,0,20,0,94,94,94,+3 AP Per Second,-,-,40,65,1,,,,,,,,,Triumphant,,,,,AP Per Second,0,0
Armor,AM,Triumphant,Gloves,235,0,13,24,0,0,0,15,0,0,0,0,+3% Reduced Armor Penetration,-,-,40,66,1,,,,,,Triumphant,,,,,,,,Reduced Armor Penetration,0,0
Armor,AM,Triumphant,Helm,275,0,14,30,0,0,0,21,0,0,0,0,+3% Dodge,-,-,40,67,1,,,Triumphant,,,,,,,,,,,Dodge,0,0
Armor,AM,Triumphant,Shoulders,275,0,15,22,0,0,0,26,0,0,0,0,+2% Healing Critical Chance,-,-,40,67,1,,,,Triumphant,,,,,,,,,,Healing Critical Chance,0,0
Armor,AM,Vanquisher,Belt,0,0,8,22,0,0,0,22,0,87,86,86,+2% Reduction in being Critically Hit,-,-,40,55,1,0,,,,,,Vanquisher,,,,,,,Reduction in being Critically Hit,0,0
Armor,AM,Vanquisher,Body,274,0,14,21,0,0,0,35,0,0,0,0,+3 AP Per Second,-,-,40,58,1,0,,,,Vanquisher,,,,,,,,,AP Per Second,0,0
Armor,AM,Vanquisher,Boots,209,0,13,10,0,0,0,20,0,0,0,0,+2% Healing Critical Chance,-,-,40,56,1,0,,,,,,,Vanquisher,,,,,,Healing Critical Chance,0,0
Armor,AM,Vanquisher,Gloves,209,0,13,23,0,0,0,15,0,0,0,0,+2% Reduced Armor Penetration,-,-,40,56,1,0,,,,,Vanquisher,,,,,,,,Reduced Armor Penetration,0,0
Armor,AM,Vanquisher,Helm,241,0,11,27,0,0,0,18,0,0,0,0,+3% Disrupt,-,-,40,57,1,0,,Vanquisher,,,,,,,,,,,Disrupt,0,0
Armor,AM,Vanquisher,Shoulders,241,0,10,20,0,0,0,24,0,0,0,0,+2% Healing Critical Chance,-,-,40,57,1,0,,,Vanquisher,,,,,,,,,,Healing Critical Chance,0,0
Armor,AM,Victorious,Belt,0,12,0,23,0,0,25,0,0,94,94,94,+36 Magic Power,-,-,40,65,0,,,,,,,Victorious,,,,,,,Magic Power,0,0
Armor,AM,Victorious,Body,308,0,0,24,0,0,28,0,0,0,0,0,+23 Magic Power,+4 AP Per Second,-,40,68,1,,,,,Victorious,,,,,,,,,Magic Power,AP Per Second,0
Armor,AM,Victorious,Boots,235,0,14,18,0,0,19,0,0,0,0,0,+2% Magic Critical Chance,-,-,40,66,1,,,,,,,,Victorious,,,,,,Magic Critical Chance,0,0
Armor,AM,Victorious,Cloak,0,0,16,10,0,0,25,0,0,94,94,94,+2% Magic Critical Chance,-,-,40,65,1,,,,,,,,,Victorious,,,,,Magic Critical Chance,0,0
Armor,AM,Victorious,Gloves,235,11,0,11,0,0,30,0,0,0,0,0,+3% Reduced Chance to be Disrupted,-,-,40,66,1,,,,,,Victorious,,,,,,,,Reduced Chance to be Disrupted,0,0
Armor,AM,Victorious,Helm,275,0,15,23,0,0,27,0,0,0,0,0,+3% Reduced Chance to be Disrupted,-,-,40,67,1,,,Victorious,,,,,,,,,,,Reduced Chance to be Disrupted,0,0
Armor,AM,Victorious,Shoulders,275,10,0,20,0,0,32,0,0,0,0,0,+2% Magic Critical Chance,-,-,40,67,1,,,,Victorious,,,,,,,,,,Magic Critical Chance,0,0
Armor,AM,Warlord,Helm,286,20,0,30,0,0,21,0,0,0,0,0,+2% Magic Critical Chance,-,-,40,72,1,0,,Warlord,,,,,,,,,,,Magic Critical Chance,0,0
Armor,AM,Warlord,Cloak,0,14,0,25,0,0,24,0,0,102,101,101,+3 AP Per Second,-,-,40,70,1,0,,,,,,,,Warlord,,,,,AP Per Second,0,0
Armor,AM,Warlord,Belt,0,0,0,20,0,0,34,0,0,101,101,102,+2% Dodge,+2% Disrupt,-,40,70,0,0,,,,,,Warlord,,,,,,,Dodge,Disrupt,0
Armor,AM,Warlord,Gloves,241,0,18,22,0,0,18,0,0,0,0,0,+2% Magic Critical Chance,-,-,40,71,1,0,,,,,Warlord,,,,,,,,Magic Critical Chance,0,0
Armor,AM,Warlord,Boots,241,10,20,20,0,0,28,0,0,0,0,0,-,-,-,40,71,1,0,,,,,,,Warlord,,,,,,0,0,0
Armor,AM,Warlord,Body,323,19,18,28,0,0,20,0,0,0,0,0,+80 Hit Points Every four Seconds,-,-,40,73,1,0,,,,Warlord,,,,,,,,,Hit Points Every four Seconds,0,0
Armor,AM,Warlord,Shoulders,286,21,0,26,0,0,20,0,0,0,0,0,+4% Reduced Armor Penetration,-,-,40,72,1,0,,,Warlord,,,,,,,,,,Reduced Armor Penetration,0,0
Jewelry,AM,Warlord,Jewelry,0,0,0,25,0,0,14,0,0,87,87,86,+2% Magic Critical Chance,+2 Morale Per Second,-,40,73,0,0,,,,,,,,,,,,,Magic Critical Chance,Morale Per Second,0
Armor,BG,Annihilator,Body,708,23,0,15,0,32,0,0,0,0,0,0,+60 Hit Points Every four Seconds,-,-,35,39,1,0,,,,Annihilator,,,,,,,,,Hit Points Every four Seconds,0,0
Armor,BG,Annihilator,Boots,549,10,13,0,21,0,0,0,0,0,0,0,+2% Dodge,-,-,35,35,1,0,,,,,,,Annihilator,,,,,,Dodge,0,0
Armor,BG,Annihilator,Gloves,549,11,0,14,9,23,0,0,0,0,0,0,-,-,-,35,36,1,0,,,,,Annihilator,,,,,,,,0,0,0
Armor,BG,Annihilator,Helm,636,13,0,0,15,25,0,0,0,0,0,0,+2% Disrupt,-,-,35,38,1,0,,Annihilator,,,,,,,,,,,Disrupt,0,0
