Class,Sets,Number of pieces,Bonus text,,,,,,,,Stat Value,Stat name
AM,Imperator,2 pieces,+61 Initiative,,,,,,,,61,Initiative
AM,Invader,2 pieces,"+66,0 Willpower",,,,,,,,66,Willpower
AM,Invader,3 pieces,+73 Wounds,,,,,,,,73,Wounds
AM,Invader,4 pieces,+80 Toughness,,,,,,,,80,Toughness
AM,Invader,5 pieces,+5% Healing Critical Chance,,,,,,,,5,Healing Critical Chance
AM,Invader,6 pieces,"Absolve l - On Direct Heal: 5% chance to remove a Hex, Curse or Ailment from your heal target.",,,,,,,,5,0
AM,Invader,7 pieces,Much Good Green - All your Path of Mork abilities have 10% chance to increase critical Heal chance by 9% and increase added value from criticals by 12% for 10 seconds.,,,,,,,,0,0
AM,Mercenary,2 pieces,+53 Intelligence,,,,,,,,53,Intelligence
AM,Mercenary,3 pieces,+290 Corporeal Resistance,,,,,,,,290,Corporeal Resistance
AM,Mercenary,4 pieces,+1 Path of Middle tree Abilities,,,,,,,,1,0
AM,Mercenary,5 pieces,+5% Magic Critical Chance,,,,,,,,5,Magic Critical Chance
AM,Onslaught,2 pieces,+58 Willpower,,,,,,,,58,Willpower
AM,Onslaught,3 pieces,+64 Wounds,,,,,,,,64,Wounds
AM,Onslaught,4 pieces,Vivacious - On Heal: 10% chance to recover 50 AP.,,,,,,,,0,0
AM,Onslaught,5 pieces,+5% Healing Critical Chance,,,,,,,,5,Healing Critical Chance
AM,Oppressor,2 pieces,+62 Intelligence,,,,,,,,62,Intelligence
AM,Oppressor,3 pieces,+68 Wounds,,,,,,,,68,Wounds
AM,Oppressor,4 pieces,"Endure – On Being Hit: 15% chance to reduce attackers Strenght, Ballistic Skill and Intelligence by 110 while increasing your Initiative by 110 for 10 seconds.",,,,,,,,0,0
AM,Oppressor,5 pieces,+5% Magic Critical Chance,,,,,,,,5,Magic Critical Chance
AM,Oppressor,6 pieces,Increasing Impetus – On Attacking Target or Direct Heal Dealt: 5% chance to reduce build times by 25% for 5 seconds.,,,,,,,,0,0
AM,Overlord,2 pieces,+61 wounds,,,,,,,,61,Wounds
AM,Rare Fortune,2 pieces,+54 Initiative,,,,,,,,54,Initiative
AM,Rare Fortune,3 pieces,+59 Willpower,,,,,,,,59,Willpower
AM,Rare Fortune,4 pieces,Aid X - On Direct Heal: 5% chance for your heal target to regain an additional 351 health over 9 seconds.,,,,,,,,0,0
AM,Rare Fortune,5 pieces,+5% Healing Critical Chance,,,,,,,,5,Healing Critical Chance
AM,Redeye,2 pieces,+3% Redcution in being Critically Hit,,,,,,,,3,0
AM,Redeye,3 pieces,+59 Willpower,,,,,,,,59,Willpower
AM,Redeye,4 pieces,+64 Intelligence,,,,,,,,64,Intelligence
AM,Redeye,5 pieces,Quickening – On Being Hit: 10% chance to reduce build times by half a second for 10 seconds.,,,,,,,,10,0
AM,Redeye,6 pieces,+5% Healing Critical Chance,,,,,,,,5,Healing Critical Chance
AM,Sentinel,2 pieces,+58 Willpower,,,,,,,,58,Willpower
AM,Sentinel,3 pieces,+64 Wounds,,,,,,,,64,Wounds
AM,Sentinel,4 pieces,+70 Initiative,,,,,,,,70,Initiative
AM,Sentinel,5 pieces,Compulsion – On Being Attacked: 10% chance to reduce your cooldown by 1 second for 10 seconds.,,,,,,,,10,0
AM,Sentinel,6 pieces,+5% Healing Critical Chance,,,,,,,,5,Healing Critical Chance
AM,Sentinel,7 pieces,Woz'nt Me! - Cooldown of Detaunt reduced by 5 seconds.,,,,,,,,5,0
AM,The Winds,2 pieces,+25 Initiative,,,,,,,,25,Initiative
AM,The Winds,3 pieces,+210 Armor,,,,,,,,210,Armor
AM,Vanquisher,2 pieces,+62 Willpower,,,,,,,,62,Willpower
AM,Vanquisher,3 pieces,+68 Wounds,,,,,,,,68,Wounds
AM,Vanquisher,4 pieces,Exuberance – On Heal: 10% chance to recover 35 AP.,,,,,,,,0,0
AM,Vanquisher,5 pieces,+5% Healing Critical Chance,,,,,,,,5,Healing Critical Chance
AM,Vanquisher,6 pieces,Increasing Impetus – On Attacking Target or Direct Heal Dealt: 5% chance to reduce build times by 25% for 5 seconds.,,,,,,,,0,0
BG,Annihilator,2 pieces,+53 Toughness,,,,,,,,53,Toughness
BG,Annihilator,3 pieces,+290 Elemental Resistance,,,,,,,,290,Elemental Resistance
BG,Annihilator,4 pieces,+1 Path of Anguish Abilities,,,,,,,,1,0
BG,Annihilator,5 pieces,+5% Parry,,,,,,,,5,Parry
BG,Beastlord,2 pieces,No Bonus,,,,,,,,0,0
BG,Beastlord,3 pieces,"+55,0 Weapon Skill",,,,,,,,55,Weapon Skill
BG,Beastlord,4 pieces,+60 Strength,,,,,,,,60,Strength
BG,Beastlord,5 pieces,+5% Disrupt,,,,,,,,5,Disrupt
BG,Beastlord,6 pieces,Erosion - On Hit: 10% chance to lower all of target's Resistances by 160 for 10 seconds.,,,,,,,,0,0
BG,Bloodlord,2 pieces,"+66,0 Wounds",,,,,,,,66,Wounds
BG,Bloodlord,3 pieces,+73 Strength,,,,,,,,73,Strength
BG,Bloodlord,4 pieces,Boost II – On Hit: 5% chance to increase critical hit rate by 6% for 9 seconds.,,,,,,,,0,0
BG,Bloodlord,5 pieces,+5% Parry,,,,,,,,5,Parry
BG,Bloodlord,6 pieces,+5% Melee Critical Chance,,,,,,,,5,Melee Critical Chance
BG,Bloodlord,7 pieces,"Reactionary – On Defense: 25% chance to increase Parry, Evade and Disrupt by 10% for 10 seconds.",,,,,,,,0,0
BG,Conqueror,2 pieces,+57 Toughness,,,,,,,,57,Toughness
BG,Conqueror,3 pieces,+63 Wounds,,,,,,,,63,Wounds
BG,Conqueror,4 pieces,+5% Reduction in being Critically hit,,,,,,,,5,Reduction in being Critically Hit
BG,Conqueror,5 pieces,Preservation - On being Hit: 10% chance to increase wounds by 100 for 20 seconds.,,,,,,,,0,0
BG,Conqueror,6 pieces,+5% Block,,,,,,,,5,Block
BG,Dominator,2 pieces,+57 Strength,,,,,,,,57,Strength
BG,Dominator,3 pieces,+63 Wounds,,,,,,,,63,Wounds
BG,Dominator,4 pieces,+5% Reduced Chance to be Parried,,,,,,,,5,Reduced Chance to be Parried
BG,Dominator,5 pieces,Aggravation - On Hit: 10% chance to Taunt target.,,,,,,,,10,0
BG,Dominator,6 pieces,+5% Melee Critical Chance,,,,,,,,5,Melee Critical Chance
BG,Genesis Everlasting,2 pieces,+37 Toughness,,,,,,,,37,Toughness
BG,Genesis Everlasting,3 pieces,+3% Reduction in being Critically Hit,,,,,,,,3,Reduction in being Critically Hit
BG,Genesis Everlasting,4 pieces,+3% Reduced Armor Penetration,,,,,,,,3,Reduced Armor Penetration
BG,Genesis Everlasting,5 pieces,+60 Hit Points every four seconds,,,,,,,,60,Hit Points Every four Seconds
BG,Genesis Undying,2 pieces,+37 Wounds,,,,,,,,37,Wounds
BG,Genesis Undying,3 pieces,+3% Reduced Armor Penetration,,,,,,,,3,Reduced Armor Penetration
BG,Genesis Undying,4 pieces,+37 Toughness,,,,,,,,37,Toughness
BG,Genesis Undying,5 pieces,+3% Reduction in being Critically Hit,,,,,,,,3,Reduction in being Critically Hit
BG,Genesis Warrior,2 pieces,+37 Strength,,,,,,,,37,Strength
BG,Genesis Warrior,3 pieces,+3% Reduced Chance to be Parried,,,,,,,,3,Reduced Chance to be Parried
BG,Genesis Warrior,4 pieces,+37 Weapon Skill,,,,,,,,37,Weapon Skill
BG,Genesis Warrior,5 pieces,+3% Melee Critical Chance,,,,,,,,3,Melee Critical Chance
BG,Imperator,2 pieces,+61 Initiative,,,,,,,,61,Initiative
BG,Invader,2 pieces,"+66,0 Strength",,,,,,,,66,Strength
BG,Invader,3 pieces,+73 Wounds,,,,,,,,73,Wounds
BG,Invader,4 pieces,+80 Toughness,,,,,,,,80,Toughness
BG,Invader,5 pieces,+5% Block,,,,,,,,5,Block
BG,Invader,6 pieces,Mending Wounds - On Block: 10% chance to restore 500 Health Points and gain 50 Action Points,,,,,,,,0,0
BG,Invader,7 pieces,"Intimidation -  When you block, all members of your group within 100 feet except you will become 5% less likely to be Critically hit for 10 seconds.",,,,,,,,0,0
BG,Mercenary,2 pieces,+53 Strength,,,,,,,,53,Strength
BG,Mercenary,3 pieces,+290 Elemental Resistance,,,,,,,,290,Elemental Resistance
BG,Mercenary,4 pieces,+1 Path of Malice,,,,,,,,1,0
BG,Mercenary,5 pieces,+5% Melee Critical Chance,,,,,,,,5,Melee Critical Chance
BG,Onslaught,2 pieces,+58 Wounds,,,,,,,,58,Wounds
BG,Onslaught,3 pieces,+64 Strength,,,,,,,,64,Strength
BG,Onslaught,4 pieces,Pilfer - On Being Hit: 10% chance to steal 112 health from your attacker.,,,,,,,,0,0
BG,Onslaught,5 pieces,+5% Block,,,,,,,,5,Block
BG,Oppressor,2 pieces,+62 Strength,,,,,,,,62,Strength
BG,Oppressor,3 pieces,+68 Wounds,,,,,,,,68,Wounds
BG,Oppressor,4 pieces,Agression - On attacking Target; 10% chance to inctease outgoing damage by 1% for 15 seconds  stacks up to 5 times.,,,,,,,,0,0
BG,Oppressor,5 pieces,+5% Melee Critical Chance,,,,,,,,5,Melee Critical Chance
BG,Oppressor,6 pieces,+5% Critical Damage,,,,,,,,5,Critical Damage
BG,Overlord,2 pieces,+61 wounds,,,,,,,,61,Wounds
BG,Rare Fortune,2 pieces,+54 Initiative,,,,,,,,54,Initiative
BG,Rare Fortune,3 pieces,+59 Strength,,,,,,,,59,Strength
BG,Rare Fortune,4 pieces,Barrier - On Being Hit: 10% chance to form a protective barrier that will absord up to 163 damage over 5 seconds.,,,,,,,,0,0
BG,Rare Fortune,5 pieces,+5% Block,,,,,,,,5,Block
BG,Redeye,2 pieces,+3% Reduction in being Critically Hit,,,,,,,,3,Reduction in being Critically Hit
BG,Redeye,3 pieces,+720 Armor,,,,,,,,720,Armor
BG,Redeye,4 pieces,+64 Strength,,,,,,,,64,Strength
BG,Redeye,5 pieces,+69 Toughness,,,,,,,,69,Toughness
BG,Redeye,6 pieces,Corrosion - On Hit: 10% chance to lower target's Armor by 1080 for 10 seconds.,,,,,,,,0,0
BG,Sentinel,2 pieces,+58 Strength,,,,,,,,58,Strength
BG,Sentinel,3 pieces,+64 Wounds,,,,,,,,64,Wounds
BG,Sentinel,4 pieces,+70 Initiative,,,,,,,,70,Initiative
BG,Sentinel,5 pieces,Unconstrained - On Causing Single Target Damage: 10% chance to be immunte from roots and snares for the next 5 seconds.,,,,,,,,0,0
BG,Sentinel,6 pieces,+5% Parry,,,,,,,,5,Parry
BG,Sentinel,7 pieces,Red Mist - Cooldown of Taunt reduced by 5 seconds.,,,,,,,,5,0
BG,The Winds,2 pieces,+25 Initiative,,,,,,,,25,Initiative
BG,The Winds,3 pieces,+210 Armor,,,,,,,,210,Armor
BG,Vanquisher,2 pieces,+62 Toughness,,,,,,,,62,Toughness
BG,Vanquisher,3 pieces,+68 Wounds,,,,,,,,68,Wounds
BG,Vanquisher,4 pieces,Active Defences - On Attacking Target: 10% chance to increase Parry  Block  Disrupt and Dodge by 7% for 10 seconds.,,,,,,,,0,0
BG,Vanquisher,5 pieces,+5% Block,,,,,,,,5,Block
BG,Vanquisher,6 pieces,Bulwarking Presence - On Being Hit: 10% chance to reduce the damage being taken by your group within 30ft by 3% for 10 seconds,,,,,,,,0,0
BO,Annihilator,4 pieces,+1 Path of Middle tree Abilities,,,,,,,,1,0
BO,Annihilator,5 pieces,+5% Parry,,,,,,,,5,Parry
BO,Beastlord,3 pieces,"+55,0 Weapon Skill",,,,,,,,55,Weapon Skill
BO,Beastlord,4 pieces,+60 Strength,,,,,,,,60,Strength
BO,Beastlord,5 pieces,+5% Parry,,,,,,,,5,Parry
BO,Beastlord,6 pieces,Corrosion – On Hit: 10% chance to lower target's Armor by 960 for 10 seconds.,,,,,,,,0,0
BO,Bloodlord,2 pieces,"+66,0 Wounds",,,,,,,,66,Wounds
BO,Bloodlord,3 pieces,+73 Strength,,,,,,,,73,Strength
BO,Bloodlord,4 pieces,Boost II – On Hit: 5% chance to increase critical hit rate by 6% for 9 seconds.,,,,,,,,0,0
BO,Bloodlord,5 pieces,+5% Parry,,,,,,,,5,Parry
BO,Bloodlord,6 pieces,+5% Melee Critical Chance,,,,,,,,5,Melee Critical Chance
BO,Bloodlord,7 pieces,"Reactionary – On Defense: 25% chance to increase Parry, Evade and Disrupt by 10% for 10 seconds.",,,,,,,,0,0
BO,Conqueror,2 pieces,+57 Toughness,,,,,,,,57,Toughness
BO,Conqueror,3 pieces,+63 Wounds,,,,,,,,63,Wounds
BO,Conqueror,4 pieces,+5% Reduction in being Critically Hit,,,,,,,,5,Reduction in being Critically Hit
BO,Conqueror,5 pieces,Preservation – On Being Hit: 10% chance to increase Wounds by 100 for 20 seconds.,,,,,,,,0,0
BO,Conqueror,6 pieces,+5% Block,,,,,,,,5,Block
BO,Dominator,2 pieces,+57 Strength,,,,,,,,57,Strength
BO,Dominator,3 pieces,+63 Wounds,,,,,,,,63,Wounds
BO,Dominator,4 pieces,+5% Reduced Chence to be Parried,,,,,,,,5,0
BO,Dominator,5 pieces,Aggravation – On Hit: 10% chance to Taunt target.,,,,,,,,10,0
BO,Dominator,6 pieces,+5% Melee Critical Chance,,,,,,,,5,Melee Critical Chance
BO,Genesis Everlasting,2 pieces,+37 Toughness,,,,,,,,37,Toughness
BO,Genesis Everlasting,3 pieces,+3% Reduction in being Critically Hit,,,,,,,,3,Reduction in being Critically Hit
BO,Genesis Everlasting,4 pieces,+3% Reduced Armor Penetration,,,,,,,,3,Reduced Armor Penetration
BO,Genesis Everlasting,5 pieces,+60 Hit Points every four seconds,,,,,,,,60,Hit Points Every four Seconds
BO,Genesis Undying,2 pieces,+37 Wounds,,,,,,,,37,Wounds
BO,Genesis Undying,3 pieces,+3% Reduced Armor Penetration,,,,,,,,3,Reduced Armor Penetration
BO,Genesis Undying,4 pieces,+37 Toughness,,,,,,,,37,Toughness
BO,Genesis Undying,5 pieces,+3% Reduction in being Critically Hit,,,,,,,,3,Reduction in being Critically Hit
BO,Genesis Warrior,2 pieces,+37 Strength,,,,,,,,37,Strength
BO,Genesis Warrior,3 pieces,+3% Reduced Chance to be Parried,,,,,,,,3,Reduced Chance to be Parried
BO,Genesis Warrior,4 pieces,+37 Weapon Skill,,,,,,,,37,Weapon Skill
BO,Genesis Warrior,5 pieces,+3% Melee Critical Chance,,,,,,,,3,Melee Critical Chance
BO,Imperator,2 pieces,+61 Initiative,,,,,,,,61,Initiative
BO,Invader,2 pieces,"+66,0 Strength",,,,,,,,66,Strength
BO,Invader,3 pieces,+73 Wounds,,,,,,,,73,Wounds
BO,Invader,4 pieces,+80 Toughness,,,,,,,,80,Toughness
BO,Invader,5 pieces,+5% Block,,,,,,,,5,Block
BO,Invader,6 pieces,Mending Wounds - On Block: 10% chance to restore 500 Health Points and gain 50 Action Points,,,,,,,,0,0
BO,Invader,7 pieces,Where It 'Urts - All your Gud'Plan or Da'Best attacks have 25% chance to increase incoming healing by 5% on all members of your group within 100 feet except for you for 10 seconds.,,,,,,,,0,0
BO,Mercenary,2 pieces,+53 Strength,,,,,,,,53,Strength
BO,Mercenary,3 pieces,+290 Elemental Resistance,,,,,,,,290,Elemental Resistance
BO,Mercenary,4 pieces,+1 Path of Right tree Abilities,,,,,,,,1,0
BO,Mercenary,5 pieces,+5% Melee Critical Chance,,,,,,,,5,Melee Critical Chance
BO,Onslaught,2 pieces,+58 Wounds,,,,,,,,58,Wounds
BO,Onslaught,3 pieces,+64 Strength,,,,,,,,64,Strength
BO,Onslaught,4 pieces,Pilfer - On Being Hit: 10% chance to steal 112 health from your attacker.,,,,,,,,0,0
BO,Onslaught,5 pieces,+5% Block,,,,,,,,5,Block
BO,Oppressor,2 pieces,+62 Strength,,,,,,,,62,Strength
BO,Oppressor,3 pieces,+68 Wounds,,,,,,,,68,Wounds
BO,Oppressor,4 pieces,Aggression – On Attacking Target: 10% chance to increase outgoing damage by 1% for 15 seconds. Stacks up to 5 times.,,,,,,,,0,0
BO,Oppressor,5 pieces,+5% Melee Critical Chance,,,,,,,,5,Melee Critical Chance
BO,Oppressor,6 pieces,+5% Critical Damage,,,,,,,,5,Critical Damage
BO,Overlord,2 pieces,+61 wounds,,,,,,,,61,Wounds
BO,Rare Fortune,2 pieces,+54 Initiative,,,,,,,,54,Initiative
BO,Rare Fortune,3 pieces,+59 Strength,,,,,,,,59,Strength
BO,Rare Fortune,4 pieces,Barrier - On Being Hit: 10% chance to form a protective barrier that will absord up to 163 damage over 5 seconds.,,,,,,,,0,0
BO,Rare Fortune,5 pieces,+5% Block,,,,,,,,5,Block
BO,Redeye,2 pieces,+3% Reduction in being Critically Hit,,,,,,,,3,Reduction in being Critically Hit
BO,Redeye,3 pieces,+720 Armor,,,,,,,,720,Armor
BO,Redeye,4 pieces,+64 Strength,,,,,,,,64,Strength
BO,Redeye,5 pieces,+69 Toughness,,,,,,,,69,Toughness
BO,Redeye,6 pieces,Corrosion – On Hit: 10% chance to lower target's Armor by 1080 for 10 seconds.,,,,,,,,0,0
BO,Sentinel,2 pieces,+58 Strength,,,,,,,,58,Strength
BO,Sentinel,3 pieces,+64 Wounds,,,,,,,,64,Wounds
BO,Sentinel,4 pieces,+70 Initiative,,,,,,,,70,Initiative
BO,Sentinel,5 pieces,Unconstrained – On Causing Single Target Damage: 10% chance to be immune from roots and snares for the next 5 seconds.,,,,,,,,0,0
BO,Sentinel,6 pieces,+5% Parry,,,,,,,,5,Parry
BO,Sentinel,7 pieces,Red Mist – Cooldown of Taunt reduced by 5 seconds.,,,,,,,,5,0
BO,The Winds,2 pieces,+25 Initiative,,,,,,,,25,Initiative
BO,The Winds,3 pieces,+210 Armor,,,,,,,,210,Armor
BO,Vanquisher,2 pieces,+62 Toughness,,,,,,,,62,Toughness
BO,Vanquisher,3 pieces,+68 Wounds,,,,,,,,68,Wounds
BO,Vanquisher,4 pieces,"Active Defences – On Attacking Target: 10% chance to increase Parry, Block, Disrupt and Dodge by 7% for 10 seconds.",,,,,,,,0,0
BO,Vanquisher,5 pieces,+5% Block,,,,,,,,5,Block
BO,Vanquisher,6 pieces,Bulwarking Presence – On Being Hit: 10% chance to redcue the damage being taken by your Group within 30ft by 3% for 10 seconds.,,,,,,,,0,0
BW,Annihilator,2 pieces,+53 Wounds,,,,,,,,53,Wounds
BW,Annihilator,3 pieces,+290 Elemental Resistance,,,,,,,,290,Elemental Resistance
BW,Annihilator,4 pieces,+1 Path of Destruction Abilities,,,,,,,,1,0
BW,Annihilator,5 pieces,+5% Magic Critical Chance,,,,,,,,5,Magic Critical Chance
BW,Beastlord,2 pieces,No Bonus,,,,,,,,0,0
BW,Beastlord,3 pieces,+225 Armor,,,,,,,,225,Armor
BW,Beastlord,4 pieces,+60 Intelligence,,,,,,,,60,Intelligence
BW,Beastlord,5 pieces,+5% Reduced Chance to be Disrupted,,,,,,,,5,Reduced Chance to be Disrupted
BW,Beastlord,6 pieces,Clarity - Aby Ability: 10% chance to reduce the cost of the next ability used within 10 seconds to 0 Action Points.,,,,,,,,10,0
BW,Bloodlord,2 pieces,"+66,0 Wounds",,,,,,,,66,Wounds
BW,Bloodlord,3 pieces,+73 Intelligence,,,,,,,,73,Intelligence
BW,Bloodlord,4 pieces,Boost II – On Hit: 5% chance to increase critical hit rate by 6% for 9 seconds.,,,,,,,,0,0
BW,Bloodlord,5 pieces,+5% Magic Critical Chance,,,,,,,,5,Magic Critical Chance
BW,Bloodlord,6 pieces,Increasing Impetus – On Attack or Direct Heal: 5% chance to reduce build times by 25% for 5 seconds.,,,,,,,,0,0
BW,Bloodlord,7 pieces,Guile – On Hit: 10% chance to lower incoming heal on target by 25% for 10 seconds.,,,,,,,,0,0
BW,Conqueror,2 pieces,+57 Intelligence,,,,,,,,57,Intelligence
BW,Conqueror,3 pieces,+63 Initiative,,,,,,,,63,Initiative
BW,Conqueror,4 pieces,+69 Wounds,,,,,,,,69,Wounds
BW,Conqueror,5 pieces,Domination - On Hit: 25% chance to steal 100 Toughness from your target for 10 seconds.,,,,,,,,0,0
BW,Conqueror,6 pieces,+5% Magic Critical Chance,,,,,,,,5,Magic Critical Chance
BW,Dominator,2 pieces,+57 Toughness,,,,,,,,57,Toughness
BW,Dominator,3 pieces,+63 Intelligence,,,,,,,,63,Intelligence
BW,Dominator,4 pieces,+280 Armor,,,,,,,,280,Armor
BW,Dominator,5 pieces,Evasive - On Being Hit: 10% chance to detaunt target.,,,,,,,,10,0
BW,Dominator,6 pieces,+5% Reduction in being Critically hit,,,,,,,,5,Reduction in being Critically Hit
BW,Genesis Scholar,2 pieces,+37 Intelligence,,,,,,,,37,Intelligence
BW,Genesis Scholar,3 pieces,+3% Reduced Chance to be Disrupted,,,,,,,,3,Reduced Chance to be Disrupted
BW,Genesis Scholar,4 pieces,+3% Reduction in being Critically Hit,,,,,,,,3,Reduction in being Critically Hit
BW,Genesis Scholar,5 pieces,+3% Magic Critical Chance,,,,,,,,3,Magic Critical Chance
BW,Imperator,2 pieces,+61 Initiative,,,,,,,,61,Initiative
BW,Invader,2 pieces,"+66,0 Intelligence",,,,,,,,66,Intelligence
BW,Invader,3 pieces,+73 Toughness,,,,,,,,73,Toughness
BW,Invader,4 pieces,+5% Reduced Chance to be Disrupted,,,,,,,,5,Reduced Chance to be Disrupted
BW,Invader,5 pieces,+10 Range,,,,,,,,10,Range
BW,Invader,6 pieces,Precision - On Critical Hit: 10% chance to increase Dodge Strikethrough and Disrupt Strikethrough by 20% on next ability casted,,,,,,,,0,0
BW,Invader,7 pieces,"Implacable Resolve - Each time you critically hit an enemy with your path of Havoc abilities, there is a 20% chance that their Initiative will be reduced by 80 for 5 seconds.",,,,,,,,0,0
BW,Mercenary,2 pieces,+53 Intelligence,,,,,,,,53,Intelligence
BW,Mercenary,3 pieces,+290 Elemental Resistance,,,,,,,,290,Elemental Resistance
BW,Mercenary,4 pieces,+1 Path of Agony Abilities,,,,,,,,1,0
BW,Mercenary,5 pieces,+5% Magic Critical Chance,,,,,,,,5,Magic Critical Chance
BW,Onslaught,2 pieces,+58 Wounds,,,,,,,,58,Wounds
BW,Onslaught,3 pieces,+64 Intelligence,,,,,,,,64,Intelligence
BW,Onslaught,4 pieces,Boost V - On Hit:5% chance to increase your critical hit rate by 9% and your critical damage by 12% for 9 seconds.,,,,,,,,0,0
BW,Onslaught,5 pieces,+5% Magic Critical Chance,,,,,,,,5,Magic Critical Chance
BW,Oppressor,2 pieces,+62 Intelligence,,,,,,,,62,Intelligence
BW,Oppressor,3 pieces,+68 Wounds,,,,,,,,68,Wounds
BW,Oppressor,4 pieces,Barrier - On Being Hit: 10% chance to form a protective barrier that will absorb up to 200 damage over 5 seconds.,,,,,,,,0,0
BW,Oppressor,5 pieces,+5% Reduction in being Critically hit,,,,,,,,5,Reduction in being Critically Hit
BW,Oppressor,6 pieces,"Subtle Evasion - On Being Attacked: 10% chance to increase Parry, Evade and Disrupt by 10% for 10 seconds.",,,,,,,,10,0
BW,Overlord,2 pieces,+61 wounds,,,,,,,,61,Wounds
BW,Rare Fortune,2 pieces,+54 Initiative,,,,,,,,54,Initiative
BW,Rare Fortune,3 pieces,+59 Intelligence,,,,,,,,59,Intelligence
BW,Rare Fortune,4 pieces,Quickening - On Being Hit: 10% chance to reduce build times by half a second for 10 seconds.,,,,,,,,10,0
BW,Rare Fortune,5 pieces,+5% Reduced Chance to de Disrupted,,,,,,,,5,0
BW,Redeye,2 pieces,+3% Reduction in being Critically Hit,,,,,,,,3,Reduction in being Critically Hit
BW,Redeye,3 pieces,+59 Intelligence,,,,,,,,59,Intelligence
BW,Redeye,4 pieces,+264 Spiritual Resistance,,,,,,,,264,Spiritual Resistance
BW,Redeye,5 pieces,Quickening - On Being Hit: 10% chance to reduce build times by half a second for 10 seconds.,,,,,,,,10,0
BW,Redeye,6 pieces,+4% Magic Critical Chance,,,,,,,,4,Magic Critical Chance
BW,Sentinel,2 pieces,+58 Intelligence,,,,,,,,58,Intelligence
BW,Sentinel,3 pieces,+64 Wounds,,,,,,,,64,Wounds
BW,Sentinel,4 pieces,+70 Initiative,,,,,,,,70,Initiative
BW,Sentinel,5 pieces,Compulsion - On Being Attacked: 10% chance to reduce your cooldownds by 1 second for 10 seconds.,,,,,,,,10,0
BW,Sentinel,6 pieces,+5% Magic Critical Chance,,,,,,,,5,Magic Critical Chance
BW,Sentinel,7 pieces,Deeper Dread - Cooldown of Dread Aspect reduced by 5 seconds.,,,,,,,,5,0
BW,The Winds,2 pieces,+25 Initiative,,,,,,,,25,Initiative
BW,The Winds,3 pieces,+210 Armor,,,,,,,,210,Armor
